City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,coquimbo,-29.9533,-71.3436,12.85,100,100,1.54,CL,1695208483
1,ploudalmezeau,48.5333,-4.65,17.14,100,100,10.8,FR,1695208751
2,recani,31.2846,-4.2688,29.2,31,0,0.63,MA,1695208751
3,albany,42.6001,-73.9662,9.23,92,44,1.92,US,1695208751
4,temryuk,45.2722,37.3811,27.12,25,0,2.97,RU,1695208751
5,adamstown,-25.066,-130.1015,20.49,90,100,5.63,PN,1695208751
6,eraan,9.0629,117.7016,27.34,83,72,1.0,PH,1695208751
7,saint-philippe,-21.3585,55.7679,26.77,77,40,6.03,RE,1695208751
8,ayvacik,39.6011,26.4047,28.68,27,55,1.62,TR,1695208752
9,yeppoon,-23.1333,150.7333,20.88,85,21,2.41,AU,1695208752
10,baissa,7.2333,10.6333,30.67,59,95,1.09,NG,1695208752
11,carnarvon,-24.8667,113.6333,20.9,71,57,10.71,AU,1695208752
12,bacalar,18.6667,-88.3833,24.25,96,36,0.86,MX,1695208752
13,invercargill,-46.4,168.35,16.68,64,39,5.36,NZ,1695208752
14,pama,11.2497,0.7075,31.64,55,24,2.12,BF,1695208752
15,bethel,41.3712,-73.414,12.02,88,0,1.54,US,1695208753
16,quepos,9.4236,-84.1652,25.68,82,100,2.05,CR,1695208753
17,labuan,5.2767,115.2417,29.0,73,100,2.31,MY,1695208753
18,howard springs,-12.497,131.047,25.95,79,98,3.09,AU,1695208753
19,nova sintra,14.8667,-24.7167,24.14,81,57,7.99,CV,1695208753
20,melfort,52.8667,-104.6177,4.07,87,79,2.57,CA,1695208753
21,rio grande,-32.035,-52.0986,19.06,98,100,4.0,BR,1695208753
22,waitangi,-43.9535,-176.5597,12.12,93,45,2.68,NZ,1695208753
23,port elizabeth,-33.918,25.5701,21.17,58,20,9.77,ZA,1695208510
24,grytviken,-54.2811,-36.5092,-1.81,94,89,3.98,GS,1695208754
25,kiunga,-6.1219,141.2906,24.48,87,42,1.36,PG,1695208754
26,margaret river,-33.95,115.0667,12.76,75,24,4.1,AU,1695208754
27,port-aux-francais,-49.35,70.2167,-0.19,66,100,16.45,TF,1695208754
28,hermanus,-34.4187,19.2345,19.89,56,2,9.21,ZA,1695208754
29,vadso,70.0744,29.7487,7.09,65,40,13.38,NO,1695208573
30,jijel,36.8205,5.7667,29.97,58,40,2.06,DZ,1695208754
31,chyhyryn,49.0838,32.6555,25.96,28,94,5.62,UA,1695208755
32,iqaluit,63.7506,-68.5145,-1.15,93,75,1.54,CA,1695208755
33,kodiak,57.79,-152.4072,8.73,100,100,5.66,US,1695208755
34,saacow,1.6279,42.4407,36.8,28,26,6.05,SO,1695208755
35,new norfolk,-42.7826,147.0587,7.73,67,59,4.5,AU,1695208755
36,tutoia,-2.7619,-42.2744,27.68,69,50,3.6,BR,1695208601
37,edinburgh of the seven seas,-37.0676,-12.3116,10.98,64,77,8.09,SH,1695208755
38,yuzhno-kurilsk,44.0306,145.8556,13.97,72,80,10.79,RU,1695208755
39,nyurba,63.2842,118.3319,2.02,97,100,2.19,RU,1695208756
40,whitehorse,60.7161,-135.0538,6.01,80,40,5.66,CA,1695208470
